TCGA-D3-A51R	SKCM	B cells	0.0156	
TCGA-FR-A7U9	SKCM	B cells	0.0044	
TCGA-FR-A7U9	SKCM	B cells	0.0044	
TCGA-D3-A2JN	SKCM	B cells	0.0195	
TCGA-D3-A2JN	SKCM	B cells	0.0195	
TCGA-DA-A1HV	SKCM	B cells	0.0283	
TCGA-DA-A1HV	SKCM	B cells	0.0283	
TCGA-D3-A51F	SKCM	B cells	0.0112	
TCGA-D3-A51F	SKCM	B cells	0.0112	
TCGA-EB-A4OZ	SKCM	B cells	0.0057	
TCGA-EB-A4OZ	SKCM	B cells	0.0057	
TCGA-FR-A7U8	SKCM	B cells	0.0006	
TCGA-FR-A7U8	SKCM	B cells	0.0006	
TCGA-D3-A1Q5	SKCM	B cells	0.0109	
TCGA-D3-A1Q5	SKCM	B cells	0.0109	
TCGA-EE-A2GU	SKCM	B cells	0.0269	
TCGA-EE-A2GU	SKCM	B cells	0.0269	
TCGA-D9-A6E9	SKCM	B cells	0.0087	
TCGA-D9-A6E9	SKCM	B cells	0.0087	
TCGA-EE-A29X	SKCM	B cells	0.0165	
TCGA-EE-A29X	SKCM	B cells	0.0165	
TCGA-EE-A20H	SKCM	B cells	0.011	
TCGA-EE-A20H	SKCM	B cells	0.011	
TCGA-EB-A1NK	SKCM	B cells	0.0104	
TCGA-EB-A1NK	SKCM	B cells	0.0104	
TCGA-GF-A2C7	SKCM	B cells	0.0048	
TCGA-GF-A2C7	SKCM	B cells	0.0048	
TCGA-FR-A8YD	SKCM	B cells	0.0013	
TCGA-FR-A8YD	SKCM	B cells	0.0013	
TCGA-D3-A2JL	SKCM	B cells	0.0107	
TCGA-D3-A2JL	SKCM	B cells	0.0107	
TCGA-D3-A1Q3	SKCM	B cells	0.0295	
TCGA-D3-A1Q3	SKCM	B cells	0.0295	
TCGA-EE-A3JI	SKCM	B cells	0.0054	
TCGA-EE-A3JI	SKCM	B cells	0.0054	
TCGA-FS-A1Z3	SKCM	B cells	0.0195	
TCGA-FS-A1Z3	SKCM	B cells	0.0195	
TCGA-ER-A194	SKCM	B cells	0.0013	
TCGA-ER-A194	SKCM	B cells	0.0013	
TCGA-QB-AA9O	SKCM	B cells	0.0069	
TCGA-QB-AA9O	SKCM	B cells	0.0069	
TCGA-FS-A1ZE	SKCM	B cells	0.0137	
TCGA-FS-A1ZE	SKCM	B cells	0.0137	
TCGA-HR-A5NC	SKCM	B cells	0.0097	
TCGA-HR-A5NC	SKCM	B cells	0.0097	
TCGA-D3-A3CC	SKCM	B cells	0.0111	
TCGA-D3-A3CC	SKCM	B cells	0.0111	
TCGA-D3-A51J	SKCM	B cells	0.0248	
TCGA-D3-A51J	SKCM	B cells	0.0248	
TCGA-BF-AAOX	SKCM	B cells	0.0107	
TCGA-BF-AAOX	SKCM	B cells	0.0107	
TCGA-EB-A5FP	SKCM	B cells	0.0104	
TCGA-EB-A5FP	SKCM	B cells	0.0104	
TCGA-EE-A3JH	SKCM	B cells	0.0623	
TCGA-EE-A3JH	SKCM	B cells	0.0623	
TCGA-DA-A1IA	SKCM	B cells	0.0243	
TCGA-DA-A1IA	SKCM	B cells	0.0243	
TCGA-D3-A2JE	SKCM	B cells	0.011	
TCGA-D3-A2JE	SKCM	B cells	0.011	
TCGA-FS-A1ZJ	SKCM	B cells	0.005	
TCGA-FS-A1ZJ	SKCM	B cells	0.005	
TCGA-EB-A24C	SKCM	B cells	0.0026	
TCGA-EB-A24C	SKCM	B cells	0.0026	
TCGA-FS-A4F8	SKCM	B cells	0.0856	
TCGA-FS-A4F8	SKCM	B cells	0.0856	
TCGA-W3-A825	SKCM	B cells	0.0096	
TCGA-W3-A825	SKCM	B cells	0.0096	
TCGA-D3-A3C1	SKCM	B cells	0.0061	
TCGA-D3-A3C1	SKCM	B cells	0.0061	
TCGA-FS-A1ZS	SKCM	B cells	0.0045	
TCGA-FS-A1ZS	SKCM	B cells	0.0045	
TCGA-D3-A8GQ	SKCM	B cells	0.019	
TCGA-D3-A8GQ	SKCM	B cells	0.019	
TCGA-EB-A5SF	SKCM	B cells	0.0015	
TCGA-EB-A5SF	SKCM	B cells	0.0015	
TCGA-D3-A2JA	SKCM	B cells	0.0134	
TCGA-D3-A2JA	SKCM	B cells	0.0134	
TCGA-ER-A19D	SKCM	B cells	0.0276	
TCGA-ER-A19D	SKCM	B cells	0.0276	
TCGA-GN-A266	SKCM	B cells	0.0138	
TCGA-GN-A266	SKCM	B cells	0.0138	
TCGA-DA-A3F3	SKCM	B cells	0.0186	
TCGA-DA-A3F3	SKCM	B cells	0.0186	
TCGA-W3-AA1W	SKCM	B cells	0.0217	
TCGA-W3-AA1W	SKCM	B cells	0.0217	
TCGA-EE-A2MC	SKCM	B cells	0.0083	
TCGA-EE-A2MC	SKCM	B cells	0.0083	
TCGA-RP-A695	SKCM	B cells	0.0097	
TCGA-RP-A695	SKCM	B cells	0.0097	
TCGA-ER-A19Q	SKCM	B cells	0.0122	
TCGA-ER-A19Q	SKCM	B cells	0.0122	
TCGA-D3-A2JH	SKCM	B cells	0.0205	
TCGA-D3-A2JH	SKCM	B cells	0.0205	
TCGA-D3-A8GV	SKCM	B cells	0.0038	
TCGA-D3-A8GV	SKCM	B cells	0.0038	
TCGA-EE-A184	SKCM	B cells	0.0149	
TCGA-EE-A184	SKCM	B cells	0.0149	
TCGA-RP-A693	SKCM	B cells	0.0179	
